2023-11-30 18:07:10,687 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Configure stats pid to 11352
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Loading settings from C:\Users\coren\.config\wandb\settings
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Loading settings from C:\Users\coren\Desktop\SnakeAI\wandb\settings
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'snake_ai_dual.py', 'program_abspath': 'C:\\Users\\coren\\Desktop\\SnakeAI\\snake_ai_dual.py', 'program': 'C:\\Users\\coren\\Desktop\\SnakeAI\\snake_ai_dual.py'}
2023-11-30 18:07:10,688 INFO    MainThread:11352 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\coren\Desktop\SnakeAI\wandb\run-20231130_180710-gdp66bjt\logs\debug.log
2023-11-30 18:07:10,689 INFO    MainThread:11352 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\coren\Desktop\SnakeAI\wandb\run-20231130_180710-gdp66bjt\logs\debug-internal.log
2023-11-30 18:07:10,689 INFO    MainThread:11352 [wandb_init.py:init():564] calling init triggers
2023-11-30 18:07:10,689 INFO    MainThread:11352 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'model': 'CNN', 'learning_rate': 0.001, 'epsilon': 0.5, 'eta': 0.8}
2023-11-30 18:07:10,689 INFO    MainThread:11352 [wandb_init.py:init():614] starting backend
2023-11-30 18:07:10,689 INFO    MainThread:11352 [wandb_init.py:init():618] setting up manager
2023-11-30 18:07:10,692 INFO    MainThread:11352 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-11-30 18:07:10,695 INFO    MainThread:11352 [wandb_init.py:init():624] backend started and connected
2023-11-30 18:07:10,701 INFO    MainThread:11352 [wandb_init.py:init():716] updated telemetry
2023-11-30 18:07:10,702 INFO    MainThread:11352 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-30 18:07:11,579 INFO    MainThread:11352 [wandb_run.py:_on_init():2254] communicating current version
2023-11-30 18:07:11,961 INFO    MainThread:11352 [wandb_run.py:_on_init():2263] got version response 
2023-11-30 18:07:11,961 INFO    MainThread:11352 [wandb_init.py:init():800] starting run threads in backend
2023-11-30 18:07:13,661 INFO    MainThread:11352 [wandb_run.py:_console_start():2233] atexit reg
2023-11-30 18:07:13,661 INFO    MainThread:11352 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-30 18:07:13,662 INFO    MainThread:11352 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-30 18:07:13,662 INFO    MainThread:11352 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-30 18:07:13,663 INFO    MainThread:11352 [wandb_init.py:init():841] run started, returning control to user process
2023-11-30 18:08:23,565 WARNING MsgRouterThr:11352 [router.py:message_loop():77] message_loop has been closed
